171 # shot/geophone points		
#x	y	
163	165	7.114
163	166	11.099
163	167	14.304
163	168	14.428
163	169	13.949
170	143	29.662
170	144	29.642
170	145	29.139
170	146	28.267
170	147	25.036
170	148	24.538
170	150	23.011
170	151	22.356
170	152	21.564
170	154	20.69
170	155	19.553
170	157	19.045
170	158	18.926
170	159	18.672
170	160	17.568
170	161	16.751
170	162	16.159
170	164	13.516
170	165	12.281
170	166	10.617
170	167	10.271
170	168	6.844
170	169	2.371
171	143	25.123
171	144	26.469
171	145	27.331
171	146	27.824
171	147	25.959
171	148	26.827
171	150	26.666
171	151	27.377
171	152	27.95
171	154	29.807
171	155	30.036
171	157	30.893
171	158	32.14
171	159	33.252
171	160	33.513
171	161	34.063
171	162	35.417
171	164	35.465
171	165	35.504
171	166	36.739
171	167	38.26
171	168	37.701
171	169	37.856
